Combined_Key,Last_Update,Confirmed,Deaths
"P.A. Bolzano, Italy",2022-04-11 04:21:02,202882,1453
"P.A. Trento, Italy",2022-04-11 04:21:02,153605,1544
"Piemonte, Italy",2022-04-11 04:21:02,1079057,13244
"Puglia, Italy",2022-04-11 04:21:02,973739,8070
"Sardegna, Italy",2022-04-11 04:21:02,246086,2271
"Sicilia, Italy",2022-04-11 04:21:02,1024450,10258
"Toscana, Italy",2022-04-11 04:21:02,1026762,9619
"Umbria, Italy",2022-04-11 04:21:02,246821,1825
"Valle d'Aosta, Italy",2022-04-11 04:21:02,33325,527
"Veneto, Italy",2022-04-11 04:21:02,1554548,14264
Jamaica,2022-04-11 04:21:02,128972,2902
"Aichi, Japan",2022-04-11 04:21:02,440074,1989
"Akita, Japan",2022-04-11 04:21:02,19218,49
"Aomori, Japan",2022-04-11 04:21:02,41084,89
"Chiba, Japan",2022-04-11 04:21:02,384425,1684
"Ehime, Japan",2022-04-11 04:21:02,27702,131
"Fukui, Japan",2022-04-11 04:21:02,23183,45
"Fukuoka, Japan",2022-04-11 04:21:02,325927,1154
"Fukushima, Japan",2022-04-11 04:21:02,41501,200
"Gifu, Japan",2022-04-11 04:21:02,73389,318
"Gunma, Japan",2022-04-11 04:21:02,75274,296
"Hiroshima, Japan",2022-04-11 04:21:02,107352,453
"Hokkaido, Japan",2022-04-11 04:21:02,243399,1948
"Hyogo, Japan",2022-04-11 04:21:02,352819,2137
"Ibaraki, Japan",2022-04-11 04:21:02,126375,393
"Ishikawa, Japan",2022-04-11 04:21:02,37387,186
"Iwate, Japan",2022-04-11 04:21:02,21267,80
"Kagawa, Japan",2022-04-11 04:21:02,32667,114
"Kagoshima, Japan",2022-04-11 04:21:02,50714,171
"Kanagawa, Japan",2022-04-11 04:21:02,639865,2076
"Kochi, Japan",2022-04-11 04:21:02,18464,101
"Kumamoto, Japan",2022-04-11 04:21:02,70381,276
"Kyoto, Japan",2022-04-11 04:21:02,164503,680
"Mie, Japan",2022-04-11 04:21:02,61608,274
"Miyagi, Japan",2022-04-11 04:21:02,63861,176
"Miyazaki, Japan",2022-04-11 04:21:02,30464,120
"Nagano, Japan",2022-04-11 04:21:02,50166,168
"Nagasaki, Japan",2022-04-11 04:21:02,37716,117
"Nara, Japan",2022-04-11 04:21:02,77168,353
"Niigata, Japan",2022-04-11 04:21:02,49717,91
"Oita, Japan",2022-04-11 04:21:02,36357,145
"Okayama, Japan",2022-04-11 04:21:02,68229,226
"Okinawa, Japan",2022-04-11 04:21:02,134193,441
"Osaka, Japan",2022-04-11 04:21:02,832818,4817
"Port Quarantine, Japan",2021-11-10 23:21:44,4463,4
"Saga, Japan",2022-04-11 04:21:02,35658,92
"Saitama, Japan",2022-04-11 04:21:02,462770,1411
"Shiga, Japan",2022-04-11 04:21:02,73600,199
"Shimane, Japan",2022-04-11 04:21:02,10704,11
"Shizuoka, Japan",2022-04-11 04:21:02,131886,387
"Tochigi, Japan",2022-04-11 04:21:02,68956,253
"Tokushima, Japan",2022-04-11 04:21:02,17082,79
"Tokyo, Japan",2022-04-11 04:21:02,1326924,4234
"Tottori, Japan",2022-04-11 04:21:02,10125,14
"Toyama, Japan",2022-04-11 04:21:02,29680,85
"Unknown, Japan",2021-11-10 23:21:44,8,0
"Wakayama, Japan",2022-04-11 04:21:02,30923,110
"Yamagata, Japan",2022-04-11 04:21:02,19310,80
"Yamaguchi, Japan",2022-04-11 04:21:02,32381,167
"Yamanashi, Japan",2022-04-11 04:21:02,25660,64
Jordan,2022-04-11 04:21:02,1694216,14048
Kazakhstan,2022-04-11 04:21:02,1394057,19013
Kenya,2022-04-11 04:21:02,323541,5648
Kiribati,2022-04-11 04:21:02,3069,13
"Korea, South",2022-04-11 04:21:02,15424598,19679
Kosovo,2022-04-11 04:21:02,227743,3138
Kuwait,2022-04-11 04:21:02,630252,2555
Kyrgyzstan,2022-04-11 04:21:02,200970,2991
Laos,2022-04-11 04:21:02,195465,698
Latvia,2022-04-11 04:21:02,808799,5679
Lebanon,2022-04-11 04:21:02,1094672,10341
Lesotho,2022-04-11 04:21:02,32910,697
Liberia,2022-04-11 04:21:02,7400,294
Libya,2022-04-11 04:21:02,501834,6429
Liechtenstein,2022-04-11 04:21:02,16757,84
Lithuania,2022-04-11 04:21:02,1041442,8969
Luxembourg,2022-04-11 04:21:02,223666,1045
MS Zaandam,2022-04-11 04:21:02,9,2
Madagascar,2022-04-11 04:21:02,64089,1390
Malawi,2022-04-11 04:21:02,85703,2628
"Johor, Malaysia",2022-04-11 04:21:02,377870,4473
"Kedah, Malaysia",2022-04-11 04:21:02,295686,2594
"Kelantan, Malaysia",2022-04-11 04:21:02,246381,1418
"Melaka, Malaysia",2022-04-11 04:21:02,119121,1100
"Negeri Sembilan, Malaysia",2022-04-11 04:21:02,195076,1465
"Pahang, Malaysia",2022-04-11 04:21:02,169038,957
"Perak, Malaysia",2022-04-11 04:21:02,194926,1879
"Perlis, Malaysia",2022-04-11 04:21:02,17042,180
"Pulau Pinang, Malaysia",2022-04-11 04:21:02,272717,1959
"Sabah, Malaysia",2022-04-11 04:21:02,369184,3114
"Sarawak, Malaysia",2022-04-11 04:21:02,302457,1714
"Selangor, Malaysia",2022-04-11 04:21:02,1266116,10581
"Terengganu, Malaysia",2022-04-11 04:21:02,123690,854
"Unknown, Malaysia",2022-04-11 04:21:02,0,0
"W.P. Kuala Lumpur, Malaysia",2022-04-11 04:21:02,336863,2809
"W.P. Labuan, Malaysia",2022-04-11 04:21:02,21164,155
"W.P. Putrajaya, Malaysia",2022-04-11 04:21:02,18487,40
Maldives,2022-04-11 04:21:02,177665,298
Mali,2022-04-11 04:21:02,30566,729
Malta,2022-04-11 04:21:02,86162,662
Marshall Islands,2022-04-11 04:21:02,7,0
Mauritania,2022-04-11 04:21:02,58710,982
Mauritius,2022-04-11 04:21:02,214860,985
"Aguascalientes, Mexico",2022-04-11 04:21:02,65403,3496
"Baja California, Mexico",2022-04-11 04:21:02,133750,12220
"Baja California Sur, Mexico",2022-04-11 04:21:02,103476,2682
"Campeche, Mexico",2022-04-11 04:21:02,34006,2240
"Chiapas, Mexico",2022-04-11 04:21:02,38097,2409
"Chihuahua, Mexico",2022-04-11 04:21:02,131223,9945
"Ciudad de Mexico, Mexico",2022-04-11 04:21:02,1392021,42697
"Coahuila, Mexico",2022-04-11 04:21:02,145404,8774
"Colima, Mexico",2022-04-11 04:21:02,54629,2193
"Durango, Mexico",2022-04-11 04:21:02,68159,3598
"Guanajuato, Mexico",2022-04-11 04:21:02,281857,14871
"Guerrero, Mexico",2022-04-11 04:21:02,98349,6751
"Hidalgo, Mexico",2022-04-11 04:21:02,93094,8392
"Jalisco, Mexico",2022-04-11 04:21:02,244921,19552
"Mexico, Mexico",2022-04-11 04:21:02,570712,47148
"Michoacan, Mexico",2022-04-11 04:21:02,94021,8819
"Morelos, Mexico",2022-04-11 04:21:02,69974,5266
"Nayarit, Mexico",2022-04-11 04:21:02,58067,3195
"Nuevo Leon, Mexico",2022-04-11 04:21:02,319102,14979
"Oaxaca, Mexico",2022-04-11 04:21:02,119403,6149
"Puebla, Mexico",2022-04-11 04:21:02,169220,16439
"Queretaro, Mexico",2022-04-11 04:21:02,141598,6193
"Quintana Roo, Mexico",2022-04-11 04:21:02,91651,4381
"San Luis Potosi, Mexico",2022-04-11 04:21:02,185637,7469
"Sinaloa, Mexico",2022-04-11 04:21:02,121673,9654
"Sonora, Mexico",2022-04-11 04:21:02,165372,10096
"Tabasco, Mexico",2022-04-11 04:21:02,189692,6039
"Tamaulipas, Mexico",2022-04-11 04:21:02,143960,7978
"Tlaxcala, Mexico",2022-04-11 04:21:02,43743,3073
"Unknown, Mexico",2022-04-11 04:21:02,0,0
"Veracruz, Mexico",2022-04-11 04:21:02,178206,16388
"Yucatan, Mexico",2022-04-11 04:21:02,108811,6792
"Zacatecas, Mexico",2022-04-11 04:21:02,67702,3847
Micronesia,2022-04-11 04:21:02,1,0
Moldova,2022-04-11 04:21:02,515445,11462
Monaco,2022-04-11 04:21:02,11152,54
Mongolia,2022-04-11 04:21:02,919870,2177
Montenegro,2022-04-11 04:21:02,233721,2706
Morocco,2022-04-11 04:21:02,1164030,16061
Mozambique,2022-04-11 04:21:02,225293,2200
Namibia,2022-04-11 04:21:02,157896,4021
Nepal,2022-04-11 04:21:02,978571,11951
"Aruba, Netherlands",2022-04-11 04:21:02,34189,212
"Bonaire, Sint Eustatius and Saba, Netherlands",2022-04-11 04:21:02,8992,33
"Curacao, Netherlands",2022-04-11 04:21:02,41153,270
"Drenthe, Netherlands",2022-04-11 04:21:02,199563,445
"Flevoland, Netherlands",2022-04-11 04:21:02,181130,331
"Friesland, Netherlands",2022-04-11 04:21:02,274664,614
"Gelderland, Netherlands",2022-04-11 04:21:02,972613,2769
"Groningen, Netherlands",2022-04-11 04:21:02,244756,349
"Limburg, Netherlands",2022-04-11 04:21:02,524260,2148
"Noord-Brabant, Netherlands",2022-04-11 04:21:02,1225244,3680
"Noord-Holland, Netherlands",2022-04-11 04:21:02,1301755,3331
"Overijssel, Netherlands",2022-04-11 04:21:02,558736,1402
"Sint Maarten, Netherlands",2022-04-11 04:21:02,9861,86
"Unknown, Netherlands",2022-02-28 23:21:00,84139,21
"Utrecht, Netherlands",2022-04-11 04:21:02,654328,1526
"Zeeland, Netherlands",2022-04-11 04:21:02,165944,385
"Zuid-Holland, Netherlands",2022-04-11 04:21:02,1668842,5100
"Cook Islands, New Zealand",2022-04-11 04:21:02,3171,0
New Zealand,2022-04-11 04:21:02,774928,469
Nicaragua,2022-04-11 04:21:02,18491,231
Niger,2022-04-11 04:21:02,8822,308
Nigeria,2022-04-11 04:21:02,255606,3142
North Macedonia,2022-04-11 04:21:02,307796,9251
